caseid	cue	tax_soda	gop	ind	gop_cue	educate	ideology	income
147544563	1	3	0	0	0	5	3	7
147544590	1	4	0	0	0	3	2	13
147544844	0	1	1	0	0	3	5	13
147544944	1	4	0	0	0	5	3	2
147545317	1	3	0	1	0	5	3	7
147545337	0	1	1	0	0	3	4	2
147545855	1	4	0	0	0	5	3	5
147545857	1	1	1	0	1	3	5	9
147546156	0	1	1	0	0	6	4	12
147546190	0	4	0	0	0	5	1	10
147547096	1	1	1	0	1	4	5	9
147547211	1	1	1	0	1	2	5	2
147547223	0	1	1	0	0	5	5	13
147548431	1	4	1	0	1	6	4	9
147550928	1	4	0	0	0	3	2	1
147551310	1	1	1	0	1	6	4	12
147552214	0	3	0	1	0	2	3	2
147555016	1	4	0	0	0	6	2	10
147558570	1	1	0	0	0	3	1	4
147558586	0	3	0	0	0	3	1	3
147559471	0	1	1	0	0	3	4	5
147559609	1	1	1	0	1	3	3	8
147559686	1	4	0	1	0	3	3	8
147559974	1	1	0	0	0	4	3	3
147560938	0	4	0	0	0	2	1	3
147561171	1	1	1	0	1	5	4	11
147562826	0	4	0	0	0	5	2	10
147563578	1	4	0	0	0	3	2	7
147563665	1	1	0	1	0	3	3	1
147564579	1	1	1	0	1	3	4	6
147565711	1	1	1	0	1	3	4	1
147566147	1	3	0	0	0	5	3	9
147568594	1	1	0	0	0	3	3	7
147568741	0	4	0	0	0	5	2	3
147568976	1	1	1	0	1	2	3	2
147570041	1	1	1	0	1	2	4	10
147570205	1	4	0	0	0	6	3	11
147578176	1	2	0	1	0	6	3	4
147578212	0	1	1	0	0	2	4	6
147579182	1	2	0	0	0	4	3	6
147581875	1	2	0	0	0	3	1	9
147584079	1	1	1	0	1	2	4	7
147585264	1	4	0	0	0	3	3	11
147587046	1	4	0	0	0	5	2	10
147588391	1	4	0	0	0	2	2	7
147590862	0	4	0	0	0	5	3	5
147593377	1	1	0	1	0	5	1	7
147595076	1	4	1	0	1	2	4	1
147598476	0	1	1	0	0	2	4	10
147599182	1	2	1	0	1	4	4	6
147599320	1	1	1	0	1	2	4	6
147600141	0	1	1	0	0	2	5	8
147606851	0	3	1	0	0	2	4	3
147606974	1	3	1	0	1	2	3	4
147612054	1	1	0	1	0	6	4	6
147612586	1	4	0	0	0	4	1	6
147613118	0	3	0	0	0	5	1	10
147613437	1	4	1	0	1	3	3	4
147616260	0	1	0	0	0	5	2	2
147616992	1	4	0	0	0	4	1	6
147617155	1	4	0	0	0	6	2	8
147617830	1	4	0	0	0	5	2	13
147618496	0	1	0	1	0	2	2	1
147620075	1	1	1	0	1	3	4	7
147623218	1	3	0	0	0	5	2	5
147625915	0	2	0	1	0	2	4	5
147626682	1	3	0	1	0	5	3	6
147629825	0	1	0	1	0	6	3	11
147630299	1	1	1	0	1	4	4	2
147631281	1	1	0	1	0	6	2	9
147631288	1	3	0	0	0	3	2	1
147632036	1	1	0	0	0	2	3	7
147633667	0	4	0	0	0	2	3	2
147635211	1	1	1	0	1	3	4	9
147637744	0	2	1	0	0	5	4	7
147638559	1	3	0	0	0	2	4	6
147638561	1	4	0	0	0	2	3	2
147640299	1	3	0	0	0	2	3	2
147641844	1	1	0	1	0	2	3	1
147642021	0	4	0	0	0	2	3	5
147644695	1	1	0	1	0	3	3	9
147647006	1	4	0	0	0	6	3	13
147647192	1	1	0	0	0	2	2	4
147649886	0	4	0	0	0	5	2	12
147651429	1	4	1	0	1	1	3	2
147651654	1	2	1	0	1	5	3	6
147652412	0	1	1	0	0	2	4	4
147653863	0	3	1	0	0	5	5	11
147656915	1	3	0	0	0	6	2	12
147657654	1	3	0	0	0	2	3	10
147657655	1	1	1	0	1	2	4	8
147658416	1	1	1	0	1	2	5	4
147662822	0	1	1	0	0	6	4	3
147665441	1	1	1	0	1	2	4	6
147668057	1	1	0	1	0	2	4	2
147679695	0	3	1	0	0	5	4	2
147682692	1	4	0	0	0	2	2	13
147682871	1	1	1	0	1	6	3	10
147687743	0	1	0	0	0	3	3	7
147691756	1	3	0	0	0	3	2	6
147696063	1	3	0	0	0	2	3	7
147698033	1	3	0	1	0	6	2	11
147698037	1	4	0	0	0	6	1	9
147698100	1	1	0	0	0	1	2	2
147701982	1	4	0	0	0	3	2	3
147702204	1	2	0	0	0	2	3	4
147704478	1	1	0	0	0	5	2	1
147704490	0	3	1	0	0	2	4	5
147704508	1	1	1	0	1	5	4	9
147708431	0	1	1	0	0	5	4	9
147708433	0	2	1	0	0	5	5	3
147708741	0	2	0	1	0	5	3	9
147711328	1	4	0	0	0	4	1	2
147713026	1	3	0	0	0	4	1	6
147717621	1	2	1	0	1	2	4	5
147723695	1	1	1	0	1	2	5	4
147725673	0	4	0	0	0	3	1	2
147725701	1	1	1	0	1	2	5	6
147729027	1	2	0	1	0	3	3	8
147731301	0	1	1	0	0	1	5	6
147744111	1	3	0	0	0	2	2	1
147747295	1	3	1	0	1	2	4	2
147752202	1	1	0	1	0	3	3	1
147754246	1	2	0	0	0	2	3	5
147757299	1	4	0	0	0	2	2	6
147761303	1	2	0	0	0	2	3	2
147761305	0	1	1	0	0	3	4	11
147778911	1	3	0	0	0	2	4	2
147779515	0	3	0	0	0	4	3	4
147792513	1	1	0	0	0	5	4	2
147794143	0	1	1	0	0	2	5	6
147795480	1	3	0	0	0	2	3	3
147795553	1	3	0	0	0	2	4	4
147795734	1	1	1	0	1	6	4	9
147795751	1	3	0	0	0	3	2	4
147795788	1	4	0	0	0	4	2	1
147795808	1	4	0	0	0	4	2	6
147795816	0	3	1	0	0	5	4	13
147795822	1	1	0	1	0	4	3	3
147795857	1	1	1	0	1	2	3	5
147795886	0	4	1	0	0	1	4	3
147795895	1	2	0	0	0	2	3	10
147795900	1	3	0	0	0	2	1	4
147795906	0	4	0	0	0	2	3	2
147795951	1	3	0	0	0	2	4	6
147796911	1	2	1	0	1	3	4	5
147797683	0	1	0	1	0	5	4	9
147798005	1	4	0	0	0	6	2	12
147798218	0	3	1	0	0	3	3	10
147798372	0	1	1	0	0	3	4	2
147799280	0	4	0	1	0	5	2	6
147799537	0	4	0	0	0	3	1	8
147799958	1	4	0	0	0	5	3	14
147800144	1	4	0	0	0	5	3	4
147800359	0	2	0	0	0	5	1	10
147800458	1	1	1	0	1	4	4	8
147800574	1	3	0	0	0	5	2	8
147800996	1	3	1	0	1	3	3	5
147801232	1	4	0	0	0	2	3	14
147801413	1	4	1	0	1	6	5	9
147802359	1	1	0	0	0	2	2	5
147802447	0	4	0	0	0	4	2	4
147802899	1	4	0	0	0	5	1	5
147802935	1	4	0	0	0	5	2	11
147802968	1	3	0	0	0	6	3	9
147803054	0	1	0	0	0	2	3	2
147803224	1	1	0	0	0	3	2	1
147803300	1	1	1	0	1	5	3	2
147803481	1	1	1	0	1	5	3	11
147803840	0	1	1	0	0	5	4	12
147803868	0	4	0	0	0	6	2	7
147803971	0	2	1	0	0	2	4	9
147804256	1	2	0	0	0	5	3	5
147804591	0	4	0	0	0	3	1	7
147804663	1	4	0	0	0	5	2	2
147804695	1	1	1	0	1	3	4	1
147804783	1	1	0	1	0	3	4	6
147805016	1	1	1	0	1	2	1	4
147805348	1	1	1	0	1	4	4	9
147805446	1	3	0	0	0	5	2	10
147807554	1	2	0	1	0	5	3	1
147854638	1	1	0	0	0	2	2	4
147869845	1	3	1	0	1	2	4	11
147876445	1	4	0	0	0	2	3	10
147879904	1	1	0	1	0	3	3	3
147889302	1	1	0	0	0	4	1	7
147889341	1	4	0	0	0	2	2	7
147897207	1	3	1	0	1	2	3	4
147909231	0	3	0	0	0	2	2	5
147928154	0	4	0	0	0	3	2	5
147931262	1	3	0	0	0	2	3	4
147969509	1	1	0	1	0	2	3	4
147975410	1	3	0	0	0	1	3	2
147990101	1	1	0	0	0	4	2	6
147993300	1	3	0	0	0	2	3	2
148007019	1	2	0	0	0	4	3	3
148067646	0	3	0	0	0	2	3	7
148104050	1	2	0	1	0	2	4	8
148140741	0	4	0	0	0	3	2	10
148168219	0	4	0	0	0	2	2	5
148186586	0	1	1	0	0	2	3	8
148268532	1	1	0	1	0	3	3	1
148276549	1	2	0	0	0	2	3	3
148296391	1	1	1	0	1	3	4	3
148299443	0	4	0	0	0	2	3	8
148299466	1	1	0	0	0	2	4	10
148325721	1	1	1	0	1	4	3	10
148343598	0	1	0	1	0	3	3	5
148347957	0	3	1	0	0	4	5	9
148354771	1	3	0	0	0	4	2	4
148360962	0	1	0	1	0	3	3	8
148424381	1	4	0	0	0	2	3	5
148482122	1	1	0	1	0	3	3	3
148483278	1	4	0	0	0	3	1	2
148513651	0	1	0	1	0	3	3	8
148527057	0	4	0	0	0	5	1	2
148530543	0	1	1	0	0	3	5	6
148536637	1	3	1	0	1	5	3	6
148542671	0	1	0	1	0	3	3	8
148545341	1	3	0	0	0	5	3	12
148545383	0	4	0	0	0	5	1	6
148545874	1	1	1	0	1	3	3	13
148551536	0	2	0	0	0	3	2	5
148551557	1	1	0	0	0	3	3	11
148553783	1	1	1	0	1	3	3	8
148554310	0	1	0	0	0	2	3	5
148556422	0	1	1	0	0	4	3	8
148563291	1	3	0	1	0	2	3	1
148567368	0	2	1	0	0	2	3	3
148573057	0	1	0	1	0	2	5	11
148578600	1	1	0	0	0	3	3	7
148583020	1	4	0	1	0	3	2	9
148589684	1	1	0	0	0	3	5	5
148590261	1	1	1	0	1	6	4	7
148590958	0	2	0	1	0	3	2	3
148590966	1	2	0	0	0	4	3	5
148591789	0	1	1	0	0	2	4	11
148592936	1	1	1	0	1	3	4	5
148596287	1	4	0	1	0	5	3	11
148598097	1	3	1	0	1	6	4	11
148603293	1	1	0	0	0	2	3	5
148604921	1	1	1	0	1	5	3	10
148606203	1	2	0	0	0	3	2	9
148609615	1	1	1	0	1	3	3	9
148615808	0	1	1	0	0	5	5	9
148617226	0	1	1	0	0	6	5	15
148617390	1	1	1	0	1	5	4	11
148618665	0	1	1	0	0	2	5	7
148621670	1	2	1	0	1	5	4	10
148622485	0	1	0	0	0	4	1	2
